year,month,day,price,rate
2025,5,1,6528,HIGH
2025,5,2,6615,HIGH
2025,5,3,6409,HIGH
2025,5,5,6522,HIGH
2025,5,6,6417,HIGH
2025,5,7,6481,HIGH
2025,5,8,6398,HIGH
2025,5,9,6522,HIGH
2025,5,10,6518,HIGH
2025,5,12,6551,HIGH
2025,5,13,6554,HIGH
2025,5,14,6447,HIGH
2025,5,15,6692,HIGH
2025,5,16,6633,HIGH
2025,5,17,6672,HIGH
2025,5,19,6825,HIGH
2025,5,20,6810,HIGH
2025,5,21,6916,HIGH
2025,5,22,6682,HIGH
2025,5,23,6902,HIGH
2025,5,24,6873,HIGH
2025,5,26,6901,HIGH
2025,5,27,6938,HIGH
2025,5,28,6886,HIGH
2025,5,29,6860,HIGH
2025,5,30,6522,HIGH
2025,5,31,6317,HIGH